Councils by Population Size,Name,Organisation ,Category,Population,,Latitude,Longitude,Co-ordinates
1,Glasgow,Glasgow City Council,Planning authority,626,,55.86,-4.25,"55.86, -4.25"
2,Edinburgh,City of Edinburgh Council ,Planning authority,518,,55.96,-3.18,"55.96, -3.18"
3,Fife,Fife Council,Planning authority,372,,56.2,-3.16,"56.20, -3.16"
4,North Lanarkshire,North Lanarkshire Council,Planning authority,340,,55.95,-3.99,"55.95, -3.99"
5,South Lanarkshire,South Lanarkshire Council,Planning authority,319,,55.78,-4.05,"55.78, -4.05"
6,Aberdeenshire,Aberdeenshire Council,Planning authority,261,,57.28,-2.37,"57.28, -2.37"
7,Highland,Highland Council,Planning authority,235,,57.48,-4.22,"57.48, -4.22"
8,Aberdeen,Aberdeen City Council.,Planning authority,228,,57.15,-2.09,"57.15, -2.09"
9,West Lothian,West Lothian Council,Planning authority,182,,55.93,-3.46,"55.93, -3.46"
10,Renfrewshire,Renfrewshire Council,Planning authority,178,3259,55.84,-4.42,"55.84, -4.42"
11,Falkirk,Falkirk Council,Planning authority,160,,,,
12,Perth and Kinross,Perth and Kinross Council,Planning authority,151,,,,
13,Dumfries and Galloway,Dumfries and Galloway Council.,Planning authority,149,,,,
14,Dundee,Dundee City Council.,Planning authority,149,,,,
15,North Ayrshire,North Ayrshire Council,Planning authority,135,,,,
16,East Ayrshire,East Ayrshire Council,Planning authority,122,,,,
17,Angus,Angus Council.,Planning authority,116,,,,
18,Scottish Borders,Scottish Borders Council,Planning authority,115,,,,
19,South Ayrshire,South Ayrshire Council,Planning authority,113,,,,
20,East Dunbartonshire,East Dunbartonshire Council,Planning authority,108,,,,
21,East Lothian,East Lothian Council,Planning authority,106,,,,
22,Moray,Moray Council,Planning authority,96,,,,
23,East Renfrewshire,East Renfrewshire Council,Planning authority,95,,,,
24,Stirling,Stirling Council,Planning authority,94,,,,
25,Midlothian,Midlothian Council,Planning authority,91,,,,
26,West Dunbartonshire,West Dunbartonshire Council,Planning authority,89,,,,
27,Argyll and Bute,Argyll and Bute Council.,Planning authority,86,,,,
28,Inverclyde,Inverclyde Council,Planning authority,78,,,,
29,Clackmannanshire,Clackmannanshire Council.,Planning authority,51,,,,
30,Na h-Eileanan Siar,Comhairle nan Eilean Siar (Western Isles) Council,Planning authority,26,,,,
31,Shetland,Shetland Islands Council,Planning authority,23,,,,
32,Orkney,Orkney Islands Council,Planning authority,22,,58.9,-2.9,"58.90, -2.90"
,,,Total,5434,,,,
